handle,url_handle,gov_label,name,description,followers,verified,date_scraped,filename,followers_num
mod_russia,mod_russia,"Правительственная учетная запись, Россия",Минобороны России,"Министерство обороны Российской Федерации Telegram: http://t.me/mod_russia, http://t.me/mod_russia_enRutube: http://rutube.ru/channel/24675435/…",333.5K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/mod_russia_2022-06-18.html,333500
rvio_ru,rvio_ru,NA,Российское военно-историческое общество,Председатель — Владимир Мединский,266K,FALSE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/rvio_ru_2022-06-18.html,266000
mvd_official,mvd_official,Государственный орган (Россия),Сайт МВД России,Твиттер-лента МВД России. Приём обращений онлайн и ссылки на ресурсы МВД России: http://taplink.cc/mvd.russia #новости #МВД #полиция,169.5K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/mvd_official_2022-06-18.html,169500
RussianEmbassy,RussianEmbassy,Russia government organization,"Russian Embassy, UK",Embassy of the Russian Federation in London - official Twitter feed (на русском языке - @RussianEmbassyR),168.2K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RussianEmbassy_2022-06-18.html,168200
Russia_AR,Russia_AR,روسيا مؤسسة حكومية,روسيا بالعربية,الحساب الرسمي لوزارة الخارجية  #روسيا_الاتحادية,142.6K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/Russia_AR_2022-06-18.html,142600
RusEmbUSA,RusEmbUSA,Russia government organization,Russian Embassy in USA,Official Twitter feed of the Russian Embassy in the USA @RussiaInUSA http://facebook.com/RusEmbUSA Subscribe to Weekly Newsletter: http://bit.ly/31U5KQe,113.1K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmbUSA_2022-06-18.html,113100
RussiaUN,RussiaUN,Russia government organization,Russia at the United Nations,Official Twitter feed of the Russian Mission to the @UN in NY / Официальный Твиттер-аккаунт Постоянного представительства России  при ООНhttp://t.me/russiaun,105.5K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RussiaUN_2022-06-18.html,105500
EmbassyofRussia,EmbassyofRussia,Russia government organization,Russia in RSA,Official twitter-account of the Embassy of Russia  in South Africa. Follow us on Facebook http://FB.com/RusEmbassySouthAfrica… Instagram http://instagram.com/embassyofrussia,102.2K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/EmbassyofRussia_2022-06-18.html,102200
Olympic_Russia,Olympic_Russia,NA,Olympic Russia,Официальный аккаунт Олимпийского комитета России / Russian Olympic Committee,98.5K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/Olympic_Russia_2022-06-18.html,98500
RusEmbassyJ,RusEmbassyJ,ロシアの政府機関,駐日ロシア連邦大使館,EMBASSY OF RUSSIA IN JAPAN ロシアの対外政策、ロシアの外交、ロ日関係、ロシア国内等 〒106-0041 東京都港区麻布台2-1-1 電話:03-3583-4224 FAX:03-3505-0593         https://t.me/rusembjp,94K,FALSE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmbassyJ_2022-06-18.html,94000
aksenov_sv,aksenov_sv,NA,Сергей Аксёнов,Официальный твиттер-аккаунт Главы Республики Крым,88K,FALSE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/aksenov_sv_2022-06-18.html,88000
rsgov,rsgov,Russia government account,Russian house,Official account of Rossotrudnichestvo,86.8K,FALSE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/rsgov_2022-06-18.html,86800
mae_rusia,mae_rusia,Organización gubernamental de Rusia,Cancillería Rusia,Ministerio de Asuntos Exteriores de Rusia  Conoce nuestro país @Russia. English @mfa_russia. Русский @MID_RF.Telegram  https://t.me/MAERusia,74.2K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/mae_rusia_2022-06-18.html,74200
RusEmbIndia,RusEmbIndia,Russia government organization,Russia in India,Welcome to account of the Russian Embassy in India  Аккаунт Посольства на русском языке  @RusEmbIndia_Ru + link to our #telegram,69.7K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmbIndia_2022-06-18.html,69700
EmbRusiaMexico,EmbRusiaMexico,Organización gubernamental de Rusia,Embajada de Rusia en México,Embajada de Rusia en México // Посольство России в Мексике  Nuestra cuenta en Telegram http://t.me/embrusiamexico,61.8K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/EmbRusiaMexico_2022-06-18.html,61800
MINZDRAV_RF,MINZDRAV_RF,Государственный орган (Россия),Минздрав РФ,Министерство Здравоохранения Российской Федерации,49.8K,FALSE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/MINZDRAV_RF_2022-06-18.html,49800
RusEmbTurkey,RusEmbTurkey,Rusya devlet kurumu,RusEmbTurkey,Official blog of the Russian Embassy in Ankara Rusya Büyükelçiliğinin resmi sayfası http://t.me/embrusturkey https://facebook.com/RusEmbAnkara,48.5K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmbTurkey_2022-06-18.html,48500
AmbRusFrance,AmbRusFrance,Organisation du gouvernement - Russie,Russie en France,Ambassade de Russie en France / Посольство России во Франции / Russian Embassy in France / RT ≠ endorsement,45.7K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/AmbRusFrance_2022-06-18.html,45700
RF_OSCE,RF_OSCE,Государственный орган (Россия),Russian Mission OSCE,Постоянное Представительство Российской Федерации при ОБСЕ / Permanent Mission of the Russian Federation to the OSCE Our Facebook: http://goo.gl/NdOBjf,42.2K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RF_OSCE_2022-06-18.html,42200
EmbajadaRusaES,EmbajadaRusaES,Organización gubernamental de Rusia,Rusia en España,Cuenta oficial de la Embajada de la Federación de Rusia en el Reino de España,32.6K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/EmbajadaRusaES_2022-06-18.html,32600
rusembitaly,rusembitaly,Russia - Organizzazione governativa,Russian Embassy in Italy,Ambasciata Russa in Italia e San Marino http://t.me/ambrusitalia http://vk.com/ambrusitalia https://t.me/rusconsroma,32.4K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/rusembitaly_2022-06-18.html,32400
Rusembegypt,Rusembegypt,روسيا مؤسسة حكومية,RussianEmbassy EGYPT,Официальный twitter-аккаунт Посольства России в Египте صفحة تويتر الرسمية لسفارة روسيا بالقاهرة Official account of the Russian Embassy in Cairo,30.6K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/Rusembegypt_2022-06-18.html,30600
RussianEmbassyC,RussianEmbassyC,Russia government organization,Russia in Canada,The Official Account of the Embassy of the Russian Federation in Canada / Официальная страница Посольства Российской Федерации в Канадеhttp://t.me/rusembc,30.1K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RussianEmbassyC_2022-06-18.html,30100
UNESCO_russian,UNESCO_russian,NA,ЮНЕСКО  #Образование #Наука #Культура,"Мысли о войне возникают в умах людей, поэтому в сознании людей следует укоренять идею защиты мира.",29.1K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/UNESCO_russian_2022-06-18.html,29100
RusEmbEthiopia,RusEmbEthiopia,Russia government organization,Russia in Ethiopia,Официальный аккаунт Посольства России в Эфиопии и при Африканском союзе. Official account of the Russian Embassy in Ethiopia and to the African Union.,27.9K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmbEthiopia_2022-06-18.html,27900
Dpol_un,Dpol_un,Russia government official,Dmitry Polyanskiy,First Deputy Permanent Representative of Russia  to the UN. Hate lies and fake news. Dog lover  Views are my own. Retweet endorsement,27.5K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/Dpol_un_2022-06-18.html,27500
Amb_Ulyanov,Amb_Ulyanov,Russia government official,Mikhail Ulyanov,Постпред РФ в Вене/Permanent Representative of Russia  to International Organizations in Vienna @mission_rf RT ≠ endorsement. Views are my own.,26.5K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/Amb_Ulyanov_2022-06-18.html,26500
SPIEF,SPIEF,NA,SPIEF,"Official Twitter account of the St.Petersburg International Economic Forum (#SPIEF), best known for the Annual Meeting in St.Petersburg, Russia",24.3K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/SPIEF_2022-06-18.html,24300
PMSimferopol,PMSimferopol,Russia government organization,Russia's MFA in Crimea,Official twitter-account of the @MFA_Russia Representative Office in Simferopol | Официальный twitter-аккаунт Представительства МИД России в г. Симферополе,24.1K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/PMSimferopol_2022-06-18.html,24100
RusBotschaft,RusBotschaft,Regierungsorganisation aus Russland,Botschaft der Russischen Föderation,Hier twittert die Pressestelle der Botschaft der Russischen Föderation in der Bundesrepublik Deutschland,24.1K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusBotschaft_2022-06-18.html,24100
mission_russian,mission_russian,Russia government account,Russian Mission in Geneva,http://t.me/RussiaGeneva,22.9K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/mission_russian_2022-06-18.html,22900
Rostec_Russia,Rostec_Russia,NA,Rostec Сorporation,"Was established in 2007 in order to promote the development, production and export of high-tech industrial products.",22.9K,FALSE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/Rostec_Russia_2022-06-18.html,22900
Amb_Yakovenko,Amb_Yakovenko,Russia government official,Alexander Yakovenko,"Ambassador of the Russian Federation  to the United Kingdom , Embassy account @RussianEmbassy",22.7K,FALSE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/Amb_Yakovenko_2022-06-18.html,22700
RusEmbJakarta,RusEmbJakarta,Lembaga pemerintah Rusia,"Russian Embassy, IDN",Official account of the Russian Embassy in Indonesia - Akun resmi Kedutaan Besar Rusia di Indonesia - Официальная учетная запись Посольства России в Индонезии,20.5K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmbJakarta_2022-06-18.html,20500
EmbajadaRusaVen,EmbajadaRusaVen,Organización gubernamental de Rusia,EmbajadaRusaVEN,"Cuenta oficial de la Embajada de Rusia en Venezuela , Haití  y República Dominicana  - por concurrencia (на русском языке - @EmbajadaVenRU)",20.2K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/EmbajadaRusaVen_2022-06-18.html,20200
RusEmbassyIraq,RusEmbassyIraq,روسيا مؤسسة حكومية,Russia in Iraq,Official account of the Russian Embassy in the Republic of Iraq \ الصفحة الرسمية لسفارة روسيا الاتحادية في جمهورية العراق https://t.me/RussiaInIraq,19.7K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmbassyIraq_2022-06-18.html,19700
RFEmbassyGr,RFEmbassyGr,Государственный орган (Россия),"Rus Embassy, Greece",Посольство России в ГрецииΠρεσβεία της Ρωσικής Ομοσπονδίας στην Ελληνική ΔημοκρατίαEmbassy of Russia in Greecehttps://t.me/rusembgreece,19.5K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RFEmbassyGr_2022-06-18.html,19500
RusMission_EU,RusMission_EU,Russia government organization,RussianMissionEU,Official account of the Permanent Mission of Russia to the EU/ Официальная страница Постоянного представительства России при ЕС,18.3K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusMission_EU_2022-06-18.html,18300
rusembtz,rusembtz,Russia government organization,Russia in Tanzania,Official account of the Embassy of the Russian Federation in the United Republic of Tanzania - Официальный Твиттер-аккаунт Посольства России в Танзании,18.2K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/rusembtz_2022-06-18.html,18200
EmbSergio,EmbSergio,Representante gubernamental de Rusia,EMB₽V_Sergio,Embajador de la Federación de Rusia en la República Bolivariana de Venezuela.Desde aquí solo buena noticia para hermana Venezuela,17.8K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/EmbSergio_2022-06-18.html,17800
RusEmbPakistan,RusEmbPakistan,Russia government organization,RusEmbassy_Pakistan,"Diplomatic Enclave, Islamabad, PakistanTel. +92 (051) 2600811",16K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmbPakistan_2022-06-18.html,16000
EmbRusiaEnArgEs,EmbRusiaEnArgEs,Organización gubernamental de Rusia,"Embajada de Rusia,AR",Embajada de la Federación de Rusia en la República Argentina (twitter Посольства на русском языке @EmbRusiaEnArgRu)https://t.me/EmbRusiaEnArg,15.9K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/EmbRusiaEnArgEs_2022-06-18.html,15900
RusEmbEst,RusEmbEst,Russia government organization,Russia in Estonia,Посольство России в Эстонии / Russian Embassy in Estonia / Venemaa Suursaatkond Eestis.,15.8K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmbEst_2022-06-18.html,15800
RSGovUK,RSGovUK,Russia state-affiliated media,𝗥𝘂𝘀𝘀𝗶𝗮 𝗶𝗻 𝘁𝗵𝗲 𝗨𝗞,NA,15.7K,FALSE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RSGovUK_2022-06-18.html,15700
RusEmbassyMinsk,RusEmbassyMinsk,Государственный орган (Россия),Russia in Belarus,Новости Посольства и актуальная информация о Союзном государстве России и Беларуси,14.4K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmbassyMinsk_2022-06-18.html,14400
RusembUkraine,RusembUkraine,Государственный орган (Россия),RusEmbassy Ukraine,Твиттер Посольства России на Украине,14.1K,FALSE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusembUkraine_2022-06-18.html,14100
embaixadarussa,embaixadarussa,Rússia organização do governo,Rússia no Brasil,"Perfil oficial da Embaixada da Rússia no Brasil. Comunicados da Embaixada e de @MFA_Russia. Notícias sobre o país: política, economia, diplomacia, cultura.",14K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/embaixadarussa_2022-06-18.html,14000
RusEmbPeru,RusEmbPeru,Organización gubernamental de Rusia,Rusia en Perú,Посольство России в Перу/Embajada de Rusia en el Perú ( круглосуточно): (+511) 264-00-36 / (+51)995528712 https://t.me/rusiaenperu,13.5K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmbPeru_2022-06-18.html,13500
UAC_Russia_eng,UAC_Russia_eng,NA,UAC Russia,Official source for news and updates from United Aircraft Corporation (UAC_Russia),13.1K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/UAC_Russia_eng_2022-06-18.html,13100
RussiaInUSA,RussiaInUSA,Государственный орган (Россия),Пос-во России в США,Официальный аккаунт Посольства России @RusEmbUSA http://FB.com/RusEmbUSA Инстаграм: http://Instagram.com/RusEmbUSA http://Washington.mid.ru/ru/CORONAVIRUS,12.8K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RussiaInUSA_2022-06-18.html,12800
RuEmbZimbabwe,RuEmbZimbabwe,Russia government organization,Russian Embassy in Zimbabwe,Official Twitter account of the Russian Embassy in ZimbabweOur Facebook: http://facebook.com/RuEmbZimbabweRussian MFA official Twitter account: @mfa_russia,12.4K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RuEmbZimbabwe_2022-06-18.html,12400
israel_mid_ru,israel_mid_ru,Russia government organization,Russia in Israel,Official Twitter feed of the Embassy of the Russian Federation in the State of Israel,12.1K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/israel_mid_ru_2022-06-18.html,12100
RusEmbassyKabul,RusEmbassyKabul,Russia government organization,Russian Embassy in Kabul,Посольство России в Афганистане   Russian Embassy in Afghanistan,11.9K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmbassyKabul_2022-06-18.html,11900
AmbRus_India,AmbRus_India,Russia government official,Denis Alipov,Russian Ambassador to India Embassy's account in English - @RusEmbIndia  Аккаунт Посольства на русском - @RusEmbIndia_Ru,11.7K,FALSE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/AmbRus_India_2022-06-18.html,11700
RusEmbUganda,RusEmbUganda,Russia government organization,Russian Embassy in Uganda,Official account of the Russian Embassy in Uganda | Follow us on Facebook http://facebook.com/RusEmbUganda/ and Instagram http://Instagram.com/rusemb.uganda/,11.7K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmbUganda_2022-06-18.html,11700
RosatomGlobal,RosatomGlobal,NA,Rosatom Global,"Rosatom operates in more than 50 countries, delivering safe and reliable solutions in #nuclear, #renewables to ensure affordable #cleanenergy into the future.",11.6K,FALSE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RosatomGlobal_2022-06-18.html,11600
RussianEmbassyR,RussianEmbassyR,Государственный орган (Россия),Посольство России,Канал Посольства России в Лондоне (English: @RussianEmbassy),10.9K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RussianEmbassyR_2022-06-18.html,10900
RusEmb_KSA,RusEmb_KSA,روسيا مؤسسة حكومية,"Russian Embassy, Saudi Arabia",الصفحة الرسمية للسفارة الروسية في المملكة العربية السعودية - Официальный микроблог Посольства Российской Федерации в Королевстве Саудовская Аравия,10.4K,FALSE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmb_KSA_2022-06-18.html,10400
A__Alimov,A__Alimov,Russia government official,Alexander Alimov,Дипломат средних талантов. Modestly talented diplomat. Deputy Permanent Representative of the Russian Federation to UN Office in Geneva. Views are my own.,10.3K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/A__Alimov_2022-06-18.html,10300
RusiaColombia,RusiaColombia,Organización gubernamental de Rusia,Rusia en Colombia,Twitter oficial de la Embajada de Rusia en Colombia,10.3K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusiaColombia_2022-06-18.html,10300
RusEmbassyUAE,RusEmbassyUAE,روسيا مؤسسة حكومية,"Russian Embassy, UAE",الصفحة الرسمية للسفارة الروسية في دولة الامارات Официальный микроблог Посольства России в ОАЭ / Official Account of the Embassy of Russia in the UAE,10.2K,TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmbassyUAE_2022-06-18.html,10200
Rfembkazakhstan,Rfembkazakhstan,Государственный орган (Россия),Россия в Казахстане,Официальный twitter-аккаунт Посольства Российской Федерации в Республике Казахстан,"9,894",TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/Rfembkazakhstan_2022-06-18.html,9894
rusemb_pl,rusemb_pl,Organizacja rządowa (Rosja),"Russian Embassy, PL",Ambasada Federacji Rosyjskiej w Rzeczypospolitej Polskiej - oficjalny Twitter - Посольство Российской Федерации в Республике Польша,"9,337",TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/rusemb_pl_2022-06-18.html,9337
RusEmbNigeria,RusEmbNigeria,Russia government organization,Russia in Nigeria,"Embassy of Russia in Nigeria,official Twitter account.Our Telegram: http://t.me/RussEmbNigeriaOur VK: https://vk.com/russembnigeria","9,302",TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmbNigeria_2022-06-18.html,9302
U_MAROC,U_MAROC,Organisation du gouvernement - Russie,Russie au Maroc,Page officiel de l’Ambassade de Russie au Maroc Официальная страница Посольства России в Марокко,"9,186",TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/U_MAROC_2022-06-18.html,9186
LV_RUSEMBAS,LV_RUSEMBAS,Государственный орган (Россия),Посольство России в Латвии,Посольство Российской Федерации в Латвийской Республике - Krievijas Federācijas vēstniecība Latvijas Republikā,"9,093",TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/LV_RUSEMBAS_2022-06-18.html,9093
AmbasadaRusije,AmbasadaRusije,Организација владе Русија,Посольство России в Сербии,Амбасада Русије у Србији || Посол | Амбасадор @ABocanHarcenko,"8,932",TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/AmbasadaRusije_2022-06-18.html,8932
RusEmbSyria,RusEmbSyria,روسيا مؤسسة حكومية,"Russian Embassy, Syria",Официальный микроблог Посольства России в Сирии / Official Account of the Embassy of Russia in Syria,"8,728",TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmbSyria_2022-06-18.html,8728
RusEmb_LT,RusEmb_LT,Государственный орган (Россия),RusEmb_LT,Официальный twitter-аккаунт Посольства Российской Федерации в Литовской Республике.Telegram: http://t.me/RusEmbLT,"8,185",TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmb_LT_2022-06-18.html,8185
EmbRusCuba,EmbRusCuba,Organización gubernamental de Rusia,Embajada de Rusia en Cuba,Embajada de Rusia en Cuba / Посольство Российской Федерации в Республике Куба. Nuestra cuenta en Telegram http://t.me/EmbRusCuba,"8,158",TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/EmbRusCuba_2022-06-18.html,8158
RusEmbSey,RusEmbSey,Russia government organization,Russian Embassy in Seychelles,Official Twitter Account of the Russian Embassy in Seychelles/Официальный твиттер-аккаунт Посольства России на Сейшелах http://t.me/RusEmbSey http://facebook.com/rusembsey,"8,129",TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmbSey_2022-06-18.html,8129
RussianEmbYemen,RussianEmbYemen,روسيا مؤسسة حكومية,Russian Embassy in Yemen,Instagram: https://instagram.com/rusembyemen?utm_medium=copy_lin…Telegram:https://t.me/RussianEmbYemen,"8,080",TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RussianEmbYemen_2022-06-18.html,8080
RusEmbSwiss,RusEmbSwiss,Russia government organization,Russian Embassy Bern,Официальный твиттер-аккаунт Посольства Российской Федерации в Швейцарской Конфедерации,"8,051",TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmbSwiss_2022-06-18.html,8051
RusEmbKuw,RusEmbKuw,روسيا مؤسسة حكومية,Russia in Kuwait,Посольство Российской Федерации в Государстве Кувейт  Embassy of the Russian Federation in the State of Kuwait  سفارة روسيا الاتحادية بدولة الكويت,"7,922",TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmbKuw_2022-06-18.html,7922
RusEmbGhanaEng,RusEmbGhanaEng,Russia government organization,Russian Embassy in Ghana,Official Twitter of the Russian Embassy in Ghana (страница на русском языке - @RusEmbGhana). Facebook page: http://facebook.com/Rusembghanahttps://t.me/embrusg,"7,883",TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmbGhanaEng_2022-06-18.html,7883
Rus_Emb_Ireland,Rus_Emb_Ireland,Russia government organization,Russia in Ireland,Официальный Twitter Посольства России в Ирландии/ Official Twitter account of the Russian Embassy in Ireland http://t.me/russiainireland,"7,858",TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/Rus_Emb_Ireland_2022-06-18.html,7858
RusEmbJordan,RusEmbJordan,Russia government organization,Russia in Jordan,سفارة #روسيا الاتحادية  في #الأردن,"7,813",TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmbJordan_2022-06-18.html,7813
RusEmbSriLanka,RusEmbSriLanka,Russia government organization,Russian Embassy in Sri Lanka,Embassy of the Russian Federation in Sri Lanka and Maldives / Посольство Российской Федерации в Шри-Ланке и на Мальдивах,"7,626",TRUE,2022-06-18,inst/helper/platform_labels/ru_dips/twitter/raw/20220618/html/RusEmbSriLanka_2022-06-18.html,7626
